id,text,gold_labels,feature_type
I04,"I'm sure it's fine, it's not like I was counting on it or anything.",disappointment,indirect
I05,"Some of us actually showed up on time today.",annoyance,indirect
I06,"I wasn't really expecting much, so this is a nice surprise.",surprise,indirect
I07,"It's whatever, I'm used to being the last one told.",disappointment,indirect
I08,"I mean, if that's how you want to handle it, sure.",disapproval,indirect
I09,"I didn't think I'd make it this far, honestly.",pride,indirect
I10,"Guess I'll just figure it out myself, like always.",annoyance,indirect
I11,"It's not a big deal, I just wish someone had asked first.",annoyance,indirect
I12,"I don't want to make a big deal out of it, but that really helped me today.",gratitude,indirect
I13,"Guess my opinion doesn't matter here.",disappointment,indirect
I14,"I'm not mad, just a little surprised nobody mentioned it.",surprise,indirect
I15,"It's fine, I'll just reschedule my whole day around it.",annoyance,indirect
I16,"I didn't expect to feel this way about leaving.",sadness,indirect
I17,"Some people really do care, and that means more than they know.",gratitude,indirect
I18,"I guess I'll believe it when I see it.",disapproval,indirect
I19,"It's okay, I've handled worse before.",relief,indirect
I20,"Guess I wasn't the priority this time either.",disappointment,indirect
I21,"I'm not upset, I just noticed I wasn't invited.",disappointment,indirect
I22,"It's funny how things work out sometimes.",amusement,indirect
I23,"I suppose that's one way to handle a crisis.",disapproval,indirect
I24,"Didn't think I'd care this much, but here we are.",surprise,indirect
I25,"I guess I'll just wait here, like usual.",annoyance,indirect
M01,"I'm happy for you but also kind of sad it's ending.","joy,sadness",mixed
M02,"Proud of myself for finishing, but exhausted beyond belief.","pride,relief",mixed
M03,"Excited for the new job but terrified I'll mess it up.","excitement,fear",mixed
M04,"Grateful it's over but grieving how much I lost along the way.","gratitude,grief",mixed
M05,"I love my new city but I really miss my old friends.","love,sadness",mixed
M06,"Relieved the surgery went well, but scared about recovery.","relief,fear",mixed
M07,"So proud of my team, but disappointed we still lost.","pride,disappointment",mixed
M08,"Happy the semester's done, nervous about the grades though.","joy,nervousness",mixed
M09,"I'm thrilled about the wedding but nervous about the speech.","excitement,nervousness",mixed
M10,"Grateful for the help, but embarrassed I needed it.","gratitude,embarrassment",mixed
M11,"Excited to move out, but sad to leave my family.","excitement,sadness",mixed
M12,"I admire her courage, but I'm worried about what happens next.","admiration,fear",mixed
M13,"Happy we won, but I feel bad for the other team.","joy,caring",mixed
M14,"Relieved it's finally confirmed, but still a little in shock.","relief,surprise",mixed
M15,"I'm proud of how far I've come, but I still feel behind.","pride,disappointment",mixed
M16,"So in love with this city, but homesick every single day.","love,sadness",mixed
M17,"Excited about the trip but anxious about flying again.","excitement,nervousness",mixed
M18,"Happy she's happy, even though it's hard for me to watch.","joy,sadness",mixed
M19,"Relieved the exam is over, disappointed with how I did.","relief,disappointment",mixed
M20,"Grateful for the opportunity, but overwhelmed by the responsibility.","gratitude,nervousness",mixed
M21,"I'm proud of him for trying, but frustrated he didn't ask for help sooner.","pride,annoyance",mixed
M22,"Happy to be home, sad the trip is already a memory.","joy,sadness",mixed
M23,"Excited to start fresh, but scared of failing again.","excitement,fear",mixed
M24,"Thankful they're safe, but furious about how it happened.","gratitude,anger",mixed
M25,"So proud of us for getting through this year, but exhausted from it too.","pride,relief",mixed
